region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2000,7,othcaljuv,1,1,1,0.6483088978417427,0.6025253416773889,0.6992860080940876,0.7362901588468993,0.7006850249032537,0.7744670007440895
Confluence,2000,7,othclad,1,1,1,0.7058526204726525,0.6303026602283063,0.7853853211215299,0.7807795401129604,0.7246569505464809,0.8390594468852084
Confluence,2000,7,othcyc,1,1,1,1.2112941743384424,0.9310230779809142,1.558992342756448,1.1483378675158535,0.9521482419557616,1.370239686993612
Confluence,2000,7,other,1,1,1,1.5606045414020508,1.1327914447850989,2.190334882427691,1.3409750032985155,1.0703964506939156,1.7000335384589695
Confluence,2000,7,pdiapfor,1,1,1,0.6988241562246894,0.6395008186916713,0.7662426720294919,0.7852462973282074,0.738378089292327,0.8374688068246128
Confluence,2000,8,acartela,1,1,1,1.2592582606752738,0.8771505640126669,1.8836388240716884,1.2527278040517507,0.886179808421375,1.8316127276678984
Confluence,2000,8,allcopnaup,1,1,1,0.20869104309608474,0.0949908593342796,0.3848852289243679,0.22935948243933352,0.10742349143268635,0.41147489353214417
Confluence,2000,8,daphnia,1,1,1,Inf,1.6665324529608556,Inf,Inf,1.073473814002636,Inf
Confluence,2000,8,eurytem,1,1,1,0,0,0.6842277188829178,0.025786955685608653,0,0.7852502123605836
Confluence,2000,8,limno,1,1,1,2.080414290335557,1.0764089831060182,3.9032880343200707,2.0195715339476266,1.0490557079057201,3.7706834270335534
Confluence,2000,8,mysid,1,1,1,0.7391135698939384,0.37208771072385793,1.5088637288697078,0.7763774942627664,0.40004023234489094,1.5576539119947699
Confluence,2000,8,othcalad,1,1,1,0.3886427907111398,0.218752856129915,0.6833305724350812,0.35193254322202167,0.19695986540891147,0.6144513736318812
Confluence,2000,8,othcaljuv,1,1,1,0.24119734400286513,0.1977776555876545,0.2992465148736139,0.24917533590313884,0.20487668276560722,0.30740840508256073
Confluence,2000,8,othclad,1,1,1,0.25429184044622943,0.177070613153017,0.35009492413590576,0.2724882660124085,0.19385361507305368,0.37043602504271117
Confluence,2000,8,othcyc,1,1,1,2.5683901766861315,1.428468376535708,4.740868335685033,2.444614725388795,1.3736336682812194,4.375299519473461
Confluence,2000,8,other,1,1,1,4.389134275595486,2.117360530413479,8.719476417962339,3.97726586650809,1.9465790647419303,7.855084098165734
Confluence,2000,8,pdiapfor,1,1,1,0.37073521641531537,0.2801720706014161,0.48343025851884724,0.39328217994596737,0.3005378983296664,0.509231801528504
Confluence,2000,9,acartela,1,1,1,1.0174559288615188,0.9226845480528598,1.12132055507266,1.0015187475235177,0.9624213841508917,1.0415689805710886
Confluence,2000,9,allcopnaup,1,1,1,0.7130541109665683,0,0.8867903052325093,0.8858969038171494,0.5002726101425908,0.9554782160611688
Confluence,2000,9,daphnia,1,1,1,Inf,1.1769994509793487,Inf,1.8759311068456412,1.0773328278374024,Inf
Confluence,2000,9,eurytem,1,1,1,0.6366950008918284,0.2607743076604218,0.8464170891811782,0.8530151495375571,0.6852083802331206,0.94665522778056
Confluence,2000,9,limno,1,1,1,1.0857032027973563,0.9561528251700167,1.2361106389769012,1.0268226390443496,0.9749824847949526,1.0821895738903131
Confluence,2000,9,mysid,1,1,1,0.9437319071954027,0.7865308564624833,1.1199645917298973,0.987000084650725,0.9197239810444494,1.0569910332484245
Confluence,2000,9,othcalad,1,1,1,Inf,2.685606593789117,Inf,Inf,1.3222525836418497,Inf
Confluence,2000,9,othcaljuv,1,1,1,0.8575454059854346,0.8143568450375724,0.9091580218393268,0.9365587566119848,0.9178150275157323,0.9589781538573373
Confluence,2000,9,othclad,1,1,1,0.7855696211090812,0.7101059396582641,0.8577081273686239,0.9194214373939766,0.8847203009673793,0.952412179622066
Confluence,2000,9,othcyc,1,1,1,1.1266871715817366,1.0008427499742554,1.2760092138743593,1.038005734972601,0.9891051475890963,1.090934062973253
Confluence,2000,9,other,1,1,1,1.1990047537028627,1.0538618204224324,1.3916324619315161,1.0721861329208147,1.0167163134171509,1.1367433388756145
Confluence,2000,9,pdiapfor,1,1,1,0.9469491031583186,0.8898311266055386,1.0043129967474203,0.9793426654188766,0.9563821319457105,1.0018059172814693
Confluence,2000,10,acartela,1,1,1,0.6646057413354729,0.46127415719827086,0.9324614744807573,0.6500843691924838,0.4479435852800107,0.9285833921491234
Confluence,2000,10,allcopnaup,1,1,1,0.5691866289929705,0,Inf,0.5966883843816875,0,Inf
