"Cohort_Year","scenario","ACM_BPUV_Feb1Feb1","ACM_BPUV_Mar1Mar1","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1997,"NAA",1454.30647120596,1548.328584963,787162.536407238,-2138.38922813686,-4578.9193236057,-4903.22580645161,3439.65576145488,-3500
1998,"Alt1",2027.61634171679,1690.34464597254,2125574.6574097,-181.240034854302,-2200.8918363557,-8538.86147628352,-3797.54284719777,-5807.63779697563
1998,"Alt2v1wTUCP",2027.61634171679,1690.34464597254,2114476.21538966,-1641.40229295798,-2257.31846582864,-4903.22580645161,-4625,-4550
1998,"Alt2v1woTUCP",2027.61634171679,1690.34464597254,2114484.53405559,-1641.22180440006,-2257.21512882799,-4903.22580645161,-4625,-4550
1998,"Alt2v2noTUCP",2027.61634171679,1690.34464597254,2107729.28447007,-1434.98799056122,-2257.70212505896,-4903.22580645161,-4625,-4550
1998,"Alt2v3noTUCP",2027.61634171679,1690.34464597254,2107812.11296857,-1433.60066444527,-2256.18112329458,-4903.22580645161,-4625,-4469.16715444445
1998,"Alt3",2027.61634171679,1690.34464597254,2268737.09313064,3487.83660177464,857.953717259133,-1296.79837480113,3086.04304563096,693.878277108668
1998,"Alt4",2027.61634171679,1690.34464597254,2116036.59309797,-1834.66516778108,-2250.94812048888,-4323.54838709677,-4517.85714285714,-4550
1998,"EXP1",2027.99125,1824.3850836399,3113705.87605672,9951.95821438786,14808.0975308177,1693.17377740512,6874.79232826329,3846.89368992846
1998,"EXP3",2027.99125,1824.3850836399,2848189.64403109,9514.20177029175,9101.48220331076,1782.6216217144,6870.36023010239,3353.93174920294
1998,"NAA",2027.61634171679,1690.34464597254,2108506.99981057,-1526.76918657849,-2338.59653875349,-4903.22580645161,-4020.71428571429,-3500
1999,"Alt1",783.428470771733,418.547771431382,668010.65909361,-4019.16280231171,-5960.53388426852,-8939.0283540224,-4575.72049662618,-6938.1782913896
1999,"Alt2v1wTUCP",783.428470771733,418.547771431382,710718.617095572,-3804.31931827409,-4505,-3761.22183863515,-4448.88168292892,-4025
1999,"Alt2v1woTUCP",783.428470771733,418.547771431382,710771.951802256,-3802.80986044535,-4505,-3762.6685798437,-4448.83930098024,-4025
1999,"Alt2v2noTUCP",783.428470771733,418.547771431382,713719.001982603,-3584.7752255374,-4505,-3730.41014122582,-4449.03927769314,-4025
1999,"Alt2v3noTUCP",783.428470771733,418.547771431382,714503.803781242,-3474.60827978288,-4505,-3732.39831210725,-4455.08296721601,-3942.33904137993
1999,"Alt3",783.428470771733,418.547771431382,730356.954497434,734.324140143094,-1727.86622377178,-1036.43998352681,-4120.4335852937,-5000
1999,"Alt4",783.428470771733,418.547771431382,710019.950572815,-3832.29858399424,-4505,-3842.84852115768,-4447.65202697115,-4025
1999,"EXP1",1141.4037340315,611.897680705642,423102.607884088,2632.14013399676,607.900173144643,1236.45821266105,9623.05567696811,5576.93473801148
1999,"EXP3",1137.23842062519,611.897680705642,681749.110700442,2125.33996654892,430.485121620667,1405.1697115083,8978.34116239533,5013.01118079729
1999,"NAA",785.299643086084,418.547771431382,742853.314670845,-2275.08194392961,-4666.7017669134,-3462.78804537846,-4160,-3500
2000,"Alt1",1519.83547516963,1227.39455771535,692646.589329813,-4168.5912139117,-6620.61908886968,-7662.29643800866,-9307.62350471708,-6705.15287444309
2000,"Alt2v1wTUCP",1752.57379209537,1371.67789139037,767038.457317748,-3829.89243734644,-4490,-4440.72832883962,-3580.35714285714,-3905
2000,"Alt2v1woTUCP",1752.57379209537,1371.67789139037,767026.905318998,-3829.87045144544,-4490,-4441.49720314626,-3580.35714285714,-3905
2000,"Alt2v2noTUCP",1752.57379209537,1387.88262482232,773907.026902636,-1979.20368809403,-4490,-4266.10281453474,-3580.35714285714,-1890.02473104957
2000,"Alt2v3noTUCP",1752.57379209537,1387.88262482232,770950.439580763,-1938.7342391246,-4490,-4288.33954208964,-3580.35714285714,-1784.18756952803
2000,"Alt3",1748.6941966122,1363.60580852223,687171.085113198,729.778662904733,-1312.3579098915,-3483.82967997488,-5000,-5000
2000,"Alt4",1737.09174918255,1363.60580852223,766651.556380458,-3862.28481825449,-4490,-4567.89329017065,-5267.85714285714,-3950
2000,"EXP1",1115.98125171632,1034.75765265064,239848.02715476,3130.70461288176,10.7260205862242,628.200657739619,1564.78523466398,1316.27052450081
2000,"EXP3",1115.98125171632,1034.75765265064,602252.39722365,2470.56833210425,-2.66805657969098,638.841059456825,1570.0653148271,1215.03202603869
2000,"NAA",1748.6941966122,1363.60580852223,790279.21903231,-1600.8991065175,-4999.99999999999,-4553.28927365348,-4316.42857142857,-4070
2001,"Alt1",662.483856029273,767.769509715595,478851.271588852,-2803.71509821165,-2993.08247686836,-9473.04238503889,-5991.16516002732,-5801.36480601784
2001,"Alt2v1wTUCP",662.483856029273,756.773086389094,492978.164683878,-2482.58678785118,-3939.60841261432,-4583.14516129032,-4030.35714285714,-3500
2001,"Alt2v1woTUCP",662.483856029273,756.773086389094,493049.78332083,-2482.59494949054,-3937.0994053829,-4583.14516129032,-4030.35714285714,-3500
2001,"Alt2v2noTUCP",662.483856029273,753.007695289278,497398.499998956,-2336.26795976541,-3363.11086735814,-4583.14516129032,-4030.35714285714,-1485.02473104957
2001,"Alt2v3noTUCP",662.483856029273,753.007695289278,494626.10381557,-2048.25347459338,-3343.341934116,-4583.14516129032,-4030.35714285714,-1366.12680714226
2001,"Alt3",708.79275682894,777.662874412983,655400,-363.620520191067,-1186.36339043719,-2223.51554449478,-493.313972402026,-75.8067506095889
2001,"Alt4",662.483856029273,756.773086389094,476500,-2490.99493651267,-3728.48876690137,-4323.54838709677,-4400,-3500
2001,"EXP1",565.51892938013,828.738499934964,15909.303837421,537.050306420664,-616.976635241152,1401.14351992025,1112.4114933876,1246.12362502016
2001,"EXP3",565.51892938013,828.738499934964,386932.202421335,600.40195489295,-533.246832491364,1137.85776112051,770.79698460908,973.283156866099
